symbol,onboardDate,weightedAvgPrice,money,tick_size,bp,closeTime
ONEUSDT,20210317150000,0.03211,19374321.4155146,1e-05,3.1142946122703212,1734507350478
IDUSDT,20230323080000,0.4832942,19267820.257291276,1e-05,0.20691330456686632,1734507350349
SNXUSDT,20190925160000,2.718,19224686.115770675,0.001,3.679175864606328,1734507351380
TUSDT,20230131150000,0.0321642,18138352.193572942,1e-05,3.1090467040995895,1734507353261
PORTALUSDT,20240229230000,0.4026691,18041746.691580936,0.0001,2.483428701134505,1734507351464
PHBUSDT,20230215150000,1.771205,17921947.61867733,0.0001,0.5645873854240475,1734507351224
LINAUSDT,20210317150000,0.00617,17778843.872920807,1e-05,16.20745542949757,1734507348379
TRUUSDT,20230306150000,0.1131194,17637725.9253716,1e-05,0.8840216620668074,1734507350400
ZILUSDT,20190925160000,0.02536,17524829.511901863,1e-05,3.9432176656151423,1734507350354
EGLDUSDT,20190925160000,43.439,17498549.069813326,0.001,0.23020787771357534,1734507350400
VANRYUSDT,20240314013000,0.1400156,17299629.078459606,1e-05,0.7142061313167962,1734507350395
HIGHUSDT,20230203150000,1.79787,17257025.03535867,0.0001,0.5562137418167054,1734507351474
HOOKUSDT,20230119150000,0.513377,17163573.215421665,0.0001,1.947886251234473,1734507353133
HOTUSDT,20210330150000,0.002903,17100027.59494384,1e-06,3.4447123665173955,1734507352408
ALICEUSDT,20210315150000,1.415,16991214.178799324,0.001,7.067137809187279,1734507350350
STGUSDT,20220824150000,0.3385463,16441423.378204005,0.0001,2.953805727606534,1734507353324
KAVAUSDT,20190925160000,0.5357,16312509.125712737,0.0001,1.8667164457718877,1734507353330
WOOUSDT,20220407150000,0.26105,16288726.132165737,1e-05,0.3830683777054204,1734507351267
HIFIUSDT,20230916223000,0.6077513,16128113.471470667,0.0001,1.6454098905259438,1734507350349
OGNUSDT,20210331150000,0.1313,16024054.067796666,0.0001,7.616146230007616,1734507342483
SPELLUSDT,20220905150000,0.0009025,15847926.371530997,1e-07,1.1080332409972298,1734507350389
MOVRUSDT,20231226203000,14.899274,15844781.102735331,0.001,0.6711736424204294,1734507352607
POWRUSDT,20231027103000,0.275276,15617407.95925,0.0001,3.6327177087722866,1734507347762
CHRUSDT,20210312150000,0.2848,15379416.331975339,0.0001,3.51123595505618,1734507351508
TLMUSDT,20230329080000,0.0169311,15214920.00354613,1e-06,0.590629079032077,1734507351162
QNTUSDT,20221018150000,128.875913,14327639.03136,0.01,0.7759401867438177,1734507352395
ENJUSDT,20190925160000,0.28067,14305547.43220747,1e-05,0.3562903053407917,1734507351387
SKLUSDT,20200824150000,0.06076,14300831.411335006,1e-05,1.6458196181698488,1734507353267
NFPUSDT,20231227203000,0.3148544,14234428.64170787,0.0001,3.1760712253028704,1734507350383
DASHUSDT,20190925160000,44.44,14069043.897602595,0.01,2.25022502250225,1734507351658
RIFUSDT,20231021203000,0.1262309,14015188.231966134,1e-05,0.7921990574415615,1734507353480
EDUUSDT,20230428080000,0.5998166,13929069.114264013,0.0001,1.6671762668789094,1734507353480
CYBERUSDT,20230821200000,4.51699,13817936.602480667,0.001,2.2138636569928205,1734507350357
GMXUSDT,20230216150000,35.368152,13498000.9392398,0.001,0.28274024608353865,1734507352186
METISUSDT,20240312163000,54.4762,13344174.621971998,0.01,1.8356640147440535,1734507353478
ASTRUSDT,20230213150000,0.069819,13199596.954844935,1e-06,0.1432274882195391,1734507350363
BICOUSDT,20230928203000,0.3506485,13108396.794075333,0.0001,2.8518587702499802,1734507353248
IOTXUSDT,20210811150000,0.0469,12670534.162584398,1e-05,2.1321961620469083,1734507351458
MAGICUSDT,20230123150000,0.558764,12463467.18312646,0.0001,1.7896643305581605,1734507351497
GTCUSDT,20210315150000,0.873,12306747.381067334,0.001,11.45475372279496,1734507338437
LRCUSDT,20190925160000,0.24476,11947884.181652797,1e-05,0.40856349076646514,1734507350800
NMRUSDT,20230622200000,20.582694,11867923.437405331,0.001,0.48584505021548685,1734507353243
BELUSDT,20190925160000,0.68603,11833914.892060665,0.0001,1.4576622013614564,1734507351144
QTUMUSDT,20190925160000,3.777,11673584.753167331,0.001,2.6476039184537994,1734507353009
ACHUSDT,20230221150000,0.0293127,11422563.058594478,1e-06,0.34114905825802466,1734507353243
ONTUSDT,20190925160000,0.2652,11299921.155387865,0.0001,3.7707390648567123,1734507352805
C98USDT,20210823150000,0.1979,11207542.317559334,0.0001,5.053057099545225,1734507353526
ONGUSDT,20231127210000,0.3649707,11069172.421009267,1e-05,0.273994597374529,1734507348863
MTLUSDT,20210331150000,1.2749,11028856.40516067,0.0001,0.7843752451172642,1734507352201
DUSKUSDT,20220106150000,0.24532,10967106.416489,1e-05,0.40763084950269035,1734507352992
LEVERUSDT,20230329080000,0.0020618,10937886.035044344,1e-07,0.48501309535357456,1734507352908
ANKRUSDT,20210125150000,0.043226,10796830.528171932,1e-05,2.3134224772127885,1734507350361
CTSIUSDT,20211025150000,0.1889,10753536.750924004,0.0001,5.293806246691371,1734507350641
RVNUSDT,20210223150000,0.0261,10736254.114733929,1e-05,3.8314176245210727,1734507350550
FLMUSDT,20190925160000,0.0877,10709069.404861331,0.0001,11.402508551881414,1734507350366
LITUSDT,20210217150000,1.0,10554777.225308003,0.001,10.0,1734507349294
RONINUSDT,20240206123000,2.412319,10406603.95737387,0.0001,0.4145388731755626,1734507352987
BATUSDT,20190925160000,0.2653,10347930.724793866,0.0001,3.7693177534866193,1734507350487
ILVUSDT,20231111003000,52.47092,10256312.127031332,0.001,0.19058175461760535,1734507350500
MAVUSDT,20230629200000,0.252552,10195391.310163936,1e-05,0.39595806012227186,1734507352809
BLZUSDT,20190925160000,0.13103,10192973.09808214,1e-05,0.7631840036632833,1734507352064
TWTUSDT,20231103223000,1.345205,9951181.90134933,0.0001,0.7433811203496865,1734507353470
IOSTUSDT,20190925160000,0.007959,9840469.73302307,1e-06,1.2564392511622062,1734507350398
CELRUSDT,20210329150000,0.0229,9497114.416132864,1e-05,4.366812227074236,1734507350822
FXSUSDT,20230119150000,3.259162,9432330.268820066,0.0001,0.3068273378248765,1734507350161
BANDUSDT,20190925160000,1.8081,9412504.489587866,0.0001,0.5530667551573475,1734507350354
OXTUSDT,20230811200000,0.1167115,9017852.213357132,1e-05,0.8568135959181402,1734507351451
ATAUSDT,20210830150000,0.1161,8246674.622729335,0.0001,8.613264427217917,1734507353299
WAXPUSDT,20231018224500,0.0486833,8228974.3669497995,1e-05,2.054092471134866,1734507353249
PERPUSDT,20230305150000,0.994093,8106083.240539398,0.0001,1.0059420999846092,1734507352888
ICXUSDT,20190925160000,0.2052,7998633.680087333,0.0001,4.8732943469785575,1734507353009
DENTUSDT,20210323150000,0.001478,7550029.91175684,1e-06,6.765899864682003,1734507350123
XVSUSDT,20230412080000,10.577221,7255030.246382664,0.001,0.9454279153286104,1734507353474
NTRNUSDT,20231114200000,0.496858,7210653.764596667,0.0001,2.0126474767438585,1734507353284
KNCUSDT,20190925160000,0.62066,7003553.061393334,0.0001,1.611188090097638,1734507353283
RLCUSDT,20190925160000,2.3394,6735877.359290267,0.0001,0.42746003248696246,1734507351625
BALUSDT,20190925160000,3.306,6678868.094021332,0.001,3.0248033877797944,1734507350345
SFPUSDT,20210224150000,0.6721,6661572.447543335,0.0001,1.4878738282993602,1734507350772
JOEUSDT,20230328080000,0.503862,6545364.0644234,1e-05,0.19846704057857112,1734507353214
LSKUSDT,20240125221500,1.050796,6251434.547585999,0.0001,0.9516595038428011,1734507345170
BADGERUSDT,20231109203000,3.82823,6134925.289224665,0.0001,0.2612173249778618,1734507350422
NKNUSDT,20210408150000,0.11032,5910183.486455666,1e-05,0.9064539521392313,1734507352790
COMBOUSDT,20230602200000,0.577688,5866408.674019933,0.0001,1.7310382074753154,1734507350394
HFTUSDT,20230405080000,0.2645969,5420419.856950533,1e-05,0.3779333771484095,1734507350511
USDCUSDT,20230312080000,0.9994815,5409205.429168608,1e-06,0.01000518768981717,1734507345715
STEEMUSDT,20231108223000,0.232245,4883113.986238533,1e-05,0.4305797756679369,1734507352829
BNTUSDT,20230810200000,0.8391653,3918012.1991298017,1e-05,0.11916603319989519,1734507350728
